Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,P&L,R_Multiple,Exit_Reason
2025-03-31 16:00:00+01:00,2025-04-02 15:00:00+01:00,short,1.0796804428100586,1.085611952662468,1.085611952662468,1.0648516681790352,26050.472345395607,-156.34216644080803,-1.01180137970631,stop_loss
2025-03-24 15:00:00+00:00,2025-04-02 16:00:00+01:00,short,1.0797970294952393,1.0865552503466605,1.0865552503466605,1.0629014773666863,22034.467669925612,-150.45621159375222,-1.010357755619259,stop_loss
2025-04-02 15:00:00+01:00,2025-04-03 11:00:00+01:00,long,1.0860122442245483,1.1061012814939017,1.0860122442245483,1.1061012814939017,19229.223295378317,384.95053781089723,0.0,take_profit
2025-04-08 07:00:00+01:00,2025-04-08 15:00:00+01:00,long,1.0979359149932861,1.0899672578573227,1.0899672578573227,1.1178575578331946,19537.911233578583,-157.0585695596259,-1.0087844160949129,stop_loss
2025-04-08 23:00:00+01:00,2025-04-09 18:00:00+01:00,long,1.0970927476882935,1.0970927476882935,1.0970927476882935,1.1172817212343216,18987.473147198147,-1.3291231203038703,0.0,stop_loss
2025-04-15 01:00:00+01:00,2025-04-21 00:00:00+01:00,short,1.1330161094665527,1.1430367049574852,1.1430367049574852,1.1079646207392215,15299.998939365376,-154.38610030883203,-1.0069856127875179,stop_loss
2025-04-17 14:00:00+01:00,2025-04-21 00:00:00+01:00,short,1.1363636255264282,1.1421233437657357,1.1421233437657357,1.1219643299281596,26618.507019453016,-155.17839587443814,-1.0121533722816998,stop_loss
2025-04-28 09:00:00+01:00,2025-04-28 15:00:00+01:00,short,1.1346874237060547,1.1396513766646386,1.1396513766646386,1.122277541309595,29950.250169723764,-150.7681504522081,-1.0141016646579928,stop_loss
2025-04-25 04:00:00+01:00,2025-04-28 17:00:00+01:00,short,1.1330161094665527,1.140690924346447,1.140690924346447,1.1138290722668174,19371.364035086295,-150.02762842278347,-1.0091207411638528,stop_loss
2025-04-28 17:00:00+01:00,2025-04-30 21:00:00+01:00,long,1.1415525674819946,1.1329630174040795,1.1329630174040795,1.1630264426767827,17045.14315132562,-147.6032707041371,-1.0081494373238453,stop_loss
2025-04-25 18:00:00+01:00,2025-05-01 02:00:00+01:00,long,1.138044834136963,1.1315521659851075,1.1315521659851075,1.1542765045166012,22898.387760329795,-150.2745200835505,-1.0107813919274462,stop_loss
2025-04-22 13:00:00+01:00,2025-05-01 15:00:00+01:00,short,1.1475785970687866,1.127578429579735,1.1475785970687866,1.127578429579735,18583.79848840179,370.3782164566304,0.0,take_profit
2025-05-02 09:00:00+01:00,2025-05-08 16:00:00+01:00,long,1.1337867975234985,1.1264510105252266,1.1264510105252266,1.1521262650191786,19799.811891546367,-146.63318947464492,-1.0095422617936547,stop_loss
2025-05-12 02:00:00+01:00,2025-05-14 09:00:00+01:00,short,1.12296462059021,1.12296462059021,1.12296462059021,1.1053817911446095,20339.119088126983,-1.4237383361688887,0.0,stop_loss
2025-05-15 09:00:00+01:00,2025-05-16 15:00:00+01:00,long,1.1213276386260986,1.1162608528733253,1.1162608528733253,1.133994603008032,28228.22114528702,-145.00232420524455,-1.0138154647572548,stop_loss
2025-05-15 18:00:00+01:00,2025-05-19 08:00:00+01:00,short,1.1174432039260864,1.1236522893905638,1.1236522893905638,1.101920490264893,23035.010476718002,-144.6387994584447,-1.01127380197945,stop_loss
