Trade_ID,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,P&L,P&L_%,R_Multiple,Exit_Reason
41,2024-12-16 18:00:00+00:00,2024-12-18 15:00:00+00:00,long,1.0524100065231323,1.0474743099808694,-140.06768945995114,-1.4006768945995114,-1.0141823954128075,stop_loss
42,2024-12-17 09:00:00+00:00,2024-12-18 20:00:00+00:00,short,1.0488777160644531,1.0362357757985592,343.36061694547146,3.4336061694547144,0.0,take_profit
43,2024-12-31 14:00:00+00:00,2025-01-02 16:00:00+00:00,short,1.0379904508590698,1.0247809819877152,345.7677431207171,3.457677431207171,0.0,take_profit
44,2025-01-16 19:00:00+00:00,2025-01-20 14:00:00+00:00,long,1.0305029153823853,1.0413084229826923,358.24022135657276,3.5824022135657274,0.0,take_profit
45,2025-01-20 06:00:00+00:00,2025-01-22 09:00:00+00:00,long,1.0313531160354614,1.0437571857869625,358.54125506396707,3.585412550639671,0.0,take_profit
46,2025-01-21 12:00:00+00:00,2025-01-22 09:00:00+00:00,short,1.0354111194610596,1.044145259141922,-150.80304796366502,-1.5080304796366502,-1.0080145271953205,stop_loss
47,2025-01-27 11:00:00+00:00,2025-01-27 23:00:00+00:00,long,1.0515247583389282,1.045174125313759,-154.40347642329183,-1.5440347642329182,-1.011022523222893,stop_loss
48,2025-01-21 16:00:00+00:00,2025-01-28 08:00:00+00:00,long,1.042535424232483,1.042535424232483,-1.2322395206077383,-0.012322395206077382,0.0,stop_loss
49,2025-01-30 11:00:00+00:00,2025-01-30 13:00:00+00:00,short,1.0395010709762573,1.0437095698714256,-152.88694436553524,-1.5288694436553525,-1.0166330090000417,stop_loss
50,2025-01-28 01:00:00+00:00,2025-02-13 06:00:00+00:00,short,1.0441683530807495,1.0441683530807495,-1.0659202425167258,-0.010659202425167259,0.0,stop_loss
51,2025-02-25 13:00:00+00:00,2025-02-27 13:00:00+00:00,long,1.0503098964691162,1.045502144396305,-150.23225062956138,-1.5023225062956138,-1.0145598190047829,stop_loss
52,2025-02-24 14:00:00+00:00,2025-03-03 12:00:00+00:00,short,1.0462440252304077,1.0462440252304077,-1.4088188768413865,-0.014088188768413865,0.0,stop_loss
53,2025-03-03 04:00:00+00:00,2025-03-04 18:00:00+00:00,long,1.0421009063720703,1.0579749432206151,362.9494143426405,3.629494143426405,0.0,take_profit
54,2025-03-12 20:00:00+00:00,2025-03-14 10:00:00+00:00,short,1.0889687538146973,1.0889687538146973,-2.1908090484472362,-0.02190809048447236,0.0,stop_loss
